Word,Lemma_spacy,PoS_tag_spacy,Spelling,DomPoSLemma,Dom_PoS_SUBTLEX,Pipeline_step,Pipeline_source,Lemma_before_step4,Step4_special_case,Lemma_pipeline_final
'em,them,NOUN,,,,3,Step 3: spaCy fallback,them,True,'em
're,be,AUX,,,,3,Step 3: spaCy fallback,be,True,'re
'twas,'twa,VERB,,,,3,Step 3: spaCy fallback,'twa,True,'twas
've,have,AUX,,,,3,Step 3: spaCy fallback,have,True,'ve
abashed,abash,VERB,abashed,abashed,,1,Step 1: SUBTLEX-UK,abashed,False,abashed
abb_s,abb_,NOUN,,,,3,Step 3: spaCy fallback,abb_,True,abb_s
abbots,abbot,VERB,abbots,abbots,,1,Step 1: SUBTLEX-UK,abbots,False,abbots
abbreviated,abbreviate,VERB,abbreviated,abbreviated,Adjective,1,Step 1: SUBTLEX-UK,abbreviated,False,abbreviated
abducted,abduct,VERB,abducted,abducted,Verb,1,Step 1: SUBTLEX-UK,abducted,False,abducted
abed,abe,VERB,abed,abed,Adverb,1,Step 1: SUBTLEX-UK,abed,False,abed
Abel's,abel's,ADJ,,,,3,Step 3: spaCy fallback,abel's,True,Abel's
abhorred,abhor,VERB,abhorred,abhorred,Verb,1,Step 1: SUBTLEX-UK,abhorred,False,abhorred
abhorring,abhorring,NOUN,abhorring,abhor,,1,Step 1: SUBTLEX-UK,abhor,False,abhor
abolishes,abolishe,NOUN,abolishes,abolish,Verb,1,Step 1: SUBTLEX-UK,abolish,False,abolish
aboriginals,aboriginal,NOUN,aboriginals,aboriginals,Name,1,Step 1: SUBTLEX-UK,aboriginals,False,aboriginals
aborigines,aborigine,NOUN,aborigines,aborigines,Noun,1,Step 1: SUBTLEX-UK,aborigines,False,aborigines
aborted,abort,VERB,aborted,aborted,Verb,1,Step 1: SUBTLEX-UK,aborted,False,aborted
abovementioned,abovementione,VERB,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,abovementioned,False,abovementioned
abraded,abrade,VERB,abraded,abraded,Verb,1,Step 1: SUBTLEX-UK,abraded,False,abraded
abridged,abridge,VERB,abridged,abridged,Adjective,1,Step 1: SUBTLEX-UK,abridged,False,abridged
abs,ab,NOUN,abs,abs,Adjective,1,Step 1: SUBTLEX-UK,abs,False,abs
abscessed,abscesse,VERB,,,Verb,2,Step 2: SUBTLEX-US + NLTK,abscessed,False,abscessed
absented,absent,VERB,absented,absented,,1,Step 1: SUBTLEX-UK,absented,False,absented
absenting,absent,VERB,absenting,absenting,Verb,1,Step 1: SUBTLEX-UK,absenting,False,absenting
absentminded,absentminde,VERB,absentminded,absentminded,Adjective,1,Step 1: SUBTLEX-UK,absentminded,False,absentminded
absolved,absolve,VERB,absolved,absolved,Verb,1,Step 1: SUBTLEX-UK,absolved,False,absolved
abstracted,abstract,VERB,abstracted,abstracted,Adjective,1,Step 1: SUBTLEX-UK,abstracted,False,abstracted
academicals,academical,NOUN,academicals,academicals,,1,Step 1: SUBTLEX-UK,academicals,False,academicals
academicians,academician,NOUN,academicians,academicians,,1,Step 1: SUBTLEX-UK,academicians,False,academicians
acclaimed,acclaim,VERB,acclaimed,acclaimed,Verb,1,Step 1: SUBTLEX-UK,acclaimed,False,acclaimed
accompanies,accompanie,NOUN,accompanies,accompany,Verb,1,Step 1: SUBTLEX-UK,accompany,False,accompany
accounting,account,VERB,accounting,accounting,Noun,1,Step 1: SUBTLEX-UK,accounting,False,accounting
ACHESON'S,acheson',NOUN,,,,3,Step 3: spaCy fallback,acheson',True,ACHESON'S
acidulated,acidulate,VERB,acidulated,acidulated,,1,Step 1: SUBTLEX-UK,acidulated,False,acidulated
acorns,acorns,PROPN,acorns,acorn,Noun,1,Step 1: SUBTLEX-UK,acorn,False,acorn
acrobatics,acrobatic,NOUN,acrobatics,acrobatics,Noun,1,Step 1: SUBTLEX-UK,acrobatics,False,acrobatics
actuating,actuate,VERB,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,actuating,False,actuating
acumen,acuman,NOUN,acumen,acumen,Noun,1,Step 1: SUBTLEX-UK,acumen,False,acumen
Adam's,adam's,X,,,,3,Step 3: spaCy fallback,adam's,True,Adam's
addenda,addenda,NOUN,,,Noun,2,Step 2: SUBTLEX-US + NLTK,addendum,False,addendum
adenoids,adenoid,NOUN,adenoids,adenoids,Noun,1,Step 1: SUBTLEX-UK,adenoids,False,adenoids
adirondacks,adirondack,NOUN,adirondacks,adirondacks,,1,Step 1: SUBTLEX-UK,adirondacks,False,adirondacks
adjoining,adjoin,VERB,adjoining,adjoining,Adjective,1,Step 1: SUBTLEX-UK,adjoining,False,adjoining
ADMASSY'S,admassy's,X,,,,3,Step 3: spaCy fallback,admassy's,True,ADMASSY'S
admonitions,admonition,NOUN,admonitions,admonitions,Noun,1,Step 1: SUBTLEX-UK,admonitions,False,admonitions
adulteresses,adulteresse,VERB,adulteresses,adulteress,,1,Step 1: SUBTLEX-UK,adulteress,False,adulteress
advanced,advance,VERB,advanced,advanced,Adjective,1,Step 1: SUBTLEX-UK,advanced,False,advanced
advantaged,advantage,VERB,advantaged,advantaged,Verb,1,Step 1: SUBTLEX-UK,advantaged,False,advantaged
advertising,advertise,VERB,advertising,advertising,Noun,1,Step 1: SUBTLEX-UK,advertising,False,advertising
aerated,aerate,VERB,aerated,aerated,,1,Step 1: SUBTLEX-UK,aerated,False,aerated
aerobatics,aerobatic,NOUN,aerobatics,aerobatics,Noun,1,Step 1: SUBTLEX-UK,aerobatics,False,aerobatics
aerobics,aerobics,NOUN,aerobics,aerobic,Noun,1,Step 1: SUBTLEX-UK,aerobic,False,aerobic
aerodynamics,aerodynamic,NOUN,aerodynamics,aerodynamics,Noun,1,Step 1: SUBTLEX-UK,aerodynamics,False,aerodynamics
aeronautics,aeronautic,NOUN,aeronautics,aeronautics,Noun,1,Step 1: SUBTLEX-UK,aeronautics,False,aeronautics
aerosolized,aerosolize,VERB,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,aerosolized,False,aerosolized
aesthetics,aesthetic,NOUN,aesthetics,aesthetics,Noun,1,Step 1: SUBTLEX-UK,aesthetics,False,aesthetics
affording,affording,ADJ,affording,afford,Verb,1,Step 1: SUBTLEX-UK,afford,False,afford
afghans,afghan,NOUN,afghans,afghans,Noun,1,Step 1: SUBTLEX-UK,afghans,False,afghans
aforementioned,aforementione,VERB,aforementioned,aforementioned,Adjective,1,Step 1: SUBTLEX-UK,aforementioned,False,aforementioned
africans,african,NOUN,africans,africans,Noun,1,Step 1: SUBTLEX-UK,africans,False,africans
afros,afros,PROPN,afros,afro,Noun,1,Step 1: SUBTLEX-UK,afro,False,afro
afterlives,afterlive,VERB,afterlives,afterlife,,1,Step 1: SUBTLEX-UK,afterlife,False,afterlife
afters,after,NOUN,afters,afters,Noun,1,Step 1: SUBTLEX-UK,afters,False,afters
Agamemnon's,agamemnon',NOUN,,,,3,Step 3: spaCy fallback,agamemnon',True,Agamemnon's
aged,aged,ADJ,aged,age,Verb,1,Step 1: SUBTLEX-UK,age,False,age
ageing,age,VERB,ageing,ageing,Adjective,1,Step 1: SUBTLEX-UK,ageing,False,ageing
aggregating,aggregate,VERB,aggregating,aggregating,Verb,1,Step 1: SUBTLEX-UK,aggregating,False,aggregating
aggrieved,aggrieve,VERB,aggrieved,aggrieved,Adjective,1,Step 1: SUBTLEX-UK,aggrieved,False,aggrieved
agnosia,agnosia,PROPN,agnosia,agnosium,Noun,1,Step 1: SUBTLEX-UK,agnosium,False,agnosium
agoraphobics,agoraphobic,NOUN,,,Noun,2,Step 2: SUBTLEX-US + NLTK,agoraphobics,False,agoraphobics
agouti,agouti,VERB,agouti,agoutus,,1,Step 1: SUBTLEX-UK,agoutus,False,agoutus
aids,aid,NOUN,aids,aids,Noun,1,Step 1: SUBTLEX-UK,aids,False,aids
airbed,airbe,VERB,airbed,airbed,,1,Step 1: SUBTLEX-UK,airbed,False,airbed
airbuses,airbuse,VERB,airbuses,airbuses,,1,Step 1: SUBTLEX-UK,airbuses,False,airbuses
AIRLINE'S,airline's,ADV,,,,3,Step 3: spaCy fallback,airline's,True,AIRLINE'S
airmen,airmen,PROPN,airmen,airman,Noun,1,Step 1: SUBTLEX-UK,airman,False,airman
airways,airway,NOUN,airways,airways,Noun,1,Step 1: SUBTLEX-UK,airways,False,airways
Al's,al',NOUN,,,,3,Step 3: spaCy fallback,al',True,Al's
albanians,albanians,PROPN,albanians,albanian,Noun,1,Step 1: SUBTLEX-UK,albanian,False,albanian
ALBRIGHT'S,albright',NOUN,,,,3,Step 3: spaCy fallback,albright',True,ALBRIGHT'S
albs,albs,PROPN,albs,alb,,1,Step 1: SUBTLEX-UK,alb,False,alb
albumen,albuman,NOUN,albumen,albumen,,1,Step 1: SUBTLEX-UK,albumen,False,albumen
ALCOTT'S,alcott',NOUN,,,,3,Step 3: spaCy fallback,alcott',True,ALCOTT'S
Alex's,alex's,VERB,,,,3,Step 3: spaCy fallback,alex's,True,Alex's
Alexander's,alexander',NOUN,,,,3,Step 3: spaCy fallback,alexander',True,Alexander's
Alfred's,alfred's,X,,,,3,Step 3: spaCy fallback,alfred's,True,Alfred's
algae,algae,NOUN,algae,alga,Noun,1,Step 1: SUBTLEX-UK,alga,False,alga
algerians,algerian,NOUN,algerians,algerians,Noun,1,Step 1: SUBTLEX-UK,algerians,False,algerians
alibis,alibis,ADJ,alibis,alibi,Noun,1,Step 1: SUBTLEX-UK,alibi,False,alibi
alkalis,alkalis,PROPN,alkalis,alkali,,1,Step 1: SUBTLEX-UK,alkali,False,alkali
Allen's,allen',NOUN,,,,3,Step 3: spaCy fallback,allen',True,Allen's
allied,ally,VERB,allied,allied,Adjective,1,Step 1: SUBTLEX-UK,allied,False,allied
Allison's,allison's,X,,,,3,Step 3: spaCy fallback,allison's,True,Allison's
alloted,allot,VERB,alloted,alloted,,1,Step 1: SUBTLEX-UK,alloted,False,alloted
allotted,allot,VERB,allotted,allotted,Verb,1,Step 1: SUBTLEX-UK,allotted,False,allotted
alluvia,alluvia,PROPN,alluvia,alluvium,,1,Step 1: SUBTLEX-UK,alluvium,False,alluvium
almanacs,almanac,NOUN,almanacs,almanacs,Noun,1,Step 1: SUBTLEX-UK,almanacs,False,almanacs
alms,alm,NOUN,alms,alms,Noun,1,Step 1: SUBTLEX-UK,alms,False,alms
almsgiving,almsgive,VERB,almsgiving,almsgiving,,1,Step 1: SUBTLEX-UK,almsgiving,False,almsgiving
alps,alp,NOUN,alps,alps,Name,1,Step 1: SUBTLEX-UK,alps,False,alps
alumnae,alumnae,NOUN,,,Noun,2,Step 2: SUBTLEX-US + NLTK,alumna,False,alumna
alveolus,alveolu,NOUN,,,Noun,2,Step 2: SUBTLEX-US + NLTK,alveolus,False,alveolus
alzheimers,alzheimer,NOUN,alzheimers,alzheimers,,1,Step 1: SUBTLEX-UK,alzheimers,False,alzheimers
amasses,amasse,NOUN,amasses,amass,Verb,1,Step 1: SUBTLEX-UK,amass,False,amass
Amelia's,amelia',NOUN,,,,3,Step 3: spaCy fallback,amelia',True,Amelia's
amends,amend,VERB,amends,amends,Noun,1,Step 1: SUBTLEX-UK,amends,False,amends
America's,america's,X,,,,3,Step 3: spaCy fallback,america's,True,America's
American's,american',NOUN,,,,3,Step 3: spaCy fallback,american',True,American's
americanized,americanize,VERB,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,americanized,False,americanized
amoebae,amoebae,NOUN,,,Name,2,Step 2: SUBTLEX-US + NLTK,amoeba,False,amoeba
amoebas,amoebas,PROPN,amoebas,amoeba,Noun,1,Step 1: SUBTLEX-UK,amoeba,False,amoeba
amours,amour,NOUN,amours,amours,Noun,1,Step 1: SUBTLEX-UK,amours,False,amours
amphorae,amphorae,NOUN,amphorae,amphora,,1,Step 1: SUBTLEX-UK,amphora,False,amphora
amplifies,amplifie,NOUN,amplifies,amplify,Verb,1,Step 1: SUBTLEX-UK,amplify,False,amplify
ampulla,ampulla,NOUN,ampulla,ampullum,,1,Step 1: SUBTLEX-UK,ampullum,False,ampullum
amygdala,amygdala,ADV,amygdala,amygdalum,Noun,1,Step 1: SUBTLEX-UK,amygdalum,False,amygdalum
an,an,PRON,an,a,Article,1,Step 1: SUBTLEX-UK,a,False,a
analects,analect,VERB,analects,analects,,1,Step 1: SUBTLEX-UK,analects,False,analects
analyses,analysis,NOUN,analyses,analyse,Noun,1,Step 1: SUBTLEX-UK,analyse,False,analyse
analytics,analytic,NOUN,analytics,analytics,,1,Step 1: SUBTLEX-UK,analytics,False,analytics
anaphylaxis,anaphylaxis,NOUN,anaphylaxis,anaphylaxi,Noun,1,Step 1: SUBTLEX-UK,anaphylaxi,False,anaphylaxi
ancillaries,ancillarie,NOUN,ancillaries,ancillary,,1,Step 1: SUBTLEX-UK,ancillary,False,ancillary
ANDERSON'S,anderson',NOUN,,,,3,Step 3: spaCy fallback,anderson',True,ANDERSON'S
Andy's,andy's,VERB,,,,3,Step 3: spaCy fallback,andy's,True,Andy's
angel's,angel',NOUN,,,,3,Step 3: spaCy fallback,angel',True,angel's
Angelo's,angelo',NOUN,,,,3,Step 3: spaCy fallback,angelo',True,Angelo's
angled,angle,VERB,angled,angled,Verb,1,Step 1: SUBTLEX-UK,angled,False,angled
anglicans,anglican,NOUN,anglicans,anglicans,,1,Step 1: SUBTLEX-UK,anglicans,False,anglicans
angling,angle,VERB,angling,angling,Verb,1,Step 1: SUBTLEX-UK,angling,False,angling
angriest,angry,ADJ,angriest,angriest,Adjective,1,Step 1: SUBTLEX-UK,angriest,False,angriest
angulated,angulate,VERB,angulated,angulated,Adjective,1,Step 1: SUBTLEX-UK,angulated,False,angulated
animal's,animal',NOUN,,,,3,Step 3: spaCy fallback,animal',True,animal's
animated,animate,VERB,animated,animated,Adjective,1,Step 1: SUBTLEX-UK,animated,False,animated
Ann's,ann's,X,,,,3,Step 3: spaCy fallback,ann's,True,Ann's
annals,annal,NOUN,annals,annals,Noun,1,Step 1: SUBTLEX-UK,annals,False,annals
Anne's,anne's,INTJ,,,,3,Step 3: spaCy fallback,anne's,True,Anne's
annealed,anneal,VERB,annealed,annealed,,1,Step 1: SUBTLEX-UK,annealed,False,annealed
annealing,anneal,VERB,annealing,annealing,,1,Step 1: SUBTLEX-UK,annealing,False,annealing
annexes,annexe,NOUN,annexes,annex,Verb,1,Step 1: SUBTLEX-UK,annex,False,annex
ANNISTON'S,anniston',NOUN,,,,3,Step 3: spaCy fallback,anniston',True,ANNISTON'S
annoyed,annoy,VERB,annoyed,annoyed,Adjective,1,Step 1: SUBTLEX-UK,annoyed,False,annoyed
annoying,annoying,ADJ,annoying,annoy,Adjective,1,Step 1: SUBTLEX-UK,annoy,False,annoy
anointing,anoint,VERB,anointing,anointing,Verb,1,Step 1: SUBTLEX-UK,anointing,False,anointing
anonyms,anonyms,VERB,,,Name,2,Step 2: SUBTLEX-US + NLTK,anonym,False,anonym
anopheles,anophele,NOUN,anopheles,anopheles,Noun,1,Step 1: SUBTLEX-UK,anopheles,False,anopheles
ANSELM'S,anselm's,VERB,,,,3,Step 3: spaCy fallback,anselm's,True,ANSELM'S
anteing,anteing,NOUN,,,Verb,2,Step 2: SUBTLEX-US + NLTK,ante,False,ante
antennae,antennae,NOUN,antennae,antenna,Noun,1,Step 1: SUBTLEX-UK,antenna,False,antenna
antes,ante,NOUN,antes,antes,Noun,1,Step 1: SUBTLEX-UK,antes,False,antes
Anthony's,anthony',NOUN,,,,3,Step 3: spaCy fallback,anthony',True,Anthony's
antibodies,antibodie,VERB,antibodies,antibody,Noun,1,Step 1: SUBTLEX-UK,antibody,False,antibody
antipodes,antipode,VERB,antipodes,antipodes,Name,1,Step 1: SUBTLEX-UK,antipodes,False,antipodes
antiquarians,antiquarian,NOUN,antiquarians,antiquarians,,1,Step 1: SUBTLEX-UK,antiquarians,False,antiquarians
antiquated,antiquate,VERB,antiquated,antiquated,Adjective,1,Step 1: SUBTLEX-UK,antiquated,False,antiquated
antiquing,antique,VERB,antiquing,antiquing,Verb,1,Step 1: SUBTLEX-UK,antiquing,False,antiquing
antirrhinums,antirrhinum,VERB,antirrhinums,antirrhinums,,1,Step 1: SUBTLEX-UK,antirrhinums,False,antirrhinums
antitheses,antithesis,NOUN,antitheses,antitheses,,1,Step 1: SUBTLEX-UK,antitheses,False,antitheses
antlered,antlere,VERB,antlered,antlered,,1,Step 1: SUBTLEX-UK,antlered,False,antlered
Antoine's,antoine',NOUN,,,,3,Step 3: spaCy fallback,antoine',True,Antoine's
antonyms,antonyms,PROPN,,,Noun,2,Step 2: SUBTLEX-US + NLTK,antonym,False,antonym
anuses,anuse,VERB,anuses,anus,Noun,1,Step 1: SUBTLEX-UK,anus,False,anus
anybodies,anybodie,NOUN,,,Noun,2,Step 2: SUBTLEX-US + NLTK,anybodies,False,anybodies
ANYBODY'D,anybody'd,NOUN,,,,3,Step 3: spaCy fallback,anybody'd,True,ANYBODY'D
anyways,anyways,ADV,anyways,anyway,Noun,1,Step 1: SUBTLEX-UK,anyway,False,anyway
aped,aped,VERB,aped,ape,,1,Step 1: SUBTLEX-UK,ape,False,ape
Apollo's,apollo',NOUN,,,,3,Step 3: spaCy fallback,apollo',True,Apollo's
apostatized,apostatize,VERB,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,apostatized,False,apostatized
apostles,apostle,NOUN,apostles,apostles,Noun,1,Step 1: SUBTLEX-UK,apostles,False,apostles
apparelled,apparelle,VERB,,,Verb,2,Step 2: SUBTLEX-US + NLTK,apparelled,False,apparelled
appeases,appease,NOUN,appeases,appeases,Verb,1,Step 1: SUBTLEX-UK,appeases,False,appeases
appetizing,appetize,VERB,appetizing,appetizing,Adjective,1,Step 1: SUBTLEX-UK,appetizing,False,appetizing
aquaplaning,aquaplane,VERB,aquaplaning,aquaplan,,1,Step 1: SUBTLEX-UK,aquaplan,False,aquaplan
aquaria,aquaria,PROPN,aquaria,aquarium,,1,Step 1: SUBTLEX-UK,aquarium,False,aquarium
aquatics,aquatic,NOUN,aquatics,aquatics,Noun,1,Step 1: SUBTLEX-UK,aquatics,False,aquatics
aquilegia,aquilegia,NOUN,aquilegia,aquilegium,,1,Step 1: SUBTLEX-UK,aquilegium,False,aquilegium
arabs,arab,NOUN,arabs,arabs,Noun,1,Step 1: SUBTLEX-UK,arabs,False,arabs
arbitrating,arbitrate,VERB,arbitrating,arbitrating,,1,Step 1: SUBTLEX-UK,arbitrating,False,arbitrating
arboreta,arboreta,NOUN,arboreta,arboretum,,1,Step 1: SUBTLEX-UK,arboretum,False,arboretum
ARBUCKLE'S,arbuckle's,ADV,,,,3,Step 3: spaCy fallback,arbuckle's,True,ARBUCKLE'S
arched,arch,VERB,arched,arched,Adjective,1,Step 1: SUBTLEX-UK,arched,False,arched
archers,archer,NOUN,archers,archers,Noun,1,Step 1: SUBTLEX-UK,archers,False,archers
arching,arch,VERB,arching,arching,Adjective,1,Step 1: SUBTLEX-UK,arching,False,arching
areola,areola,PROPN,areola,areolum,Noun,1,Step 1: SUBTLEX-UK,areolum,False,areolum
arias,arias,PROPN,arias,aria,Noun,1,Step 1: SUBTLEX-UK,aria,False,aria
aries,arie,NOUN,aries,aries,Name,1,Step 1: SUBTLEX-UK,aries,False,aries
arisen,arisen,VERB,arisen,arise,Verb,1,Step 1: SUBTLEX-UK,arise,False,arise
Aristotle's,aristotle',NOUN,,,,3,Step 3: spaCy fallback,aristotle',True,Aristotle's
ARLEN'S,arlen',NOUN,,,,3,Step 3: spaCy fallback,arlen',True,ARLEN'S
Arlene's,arlene',NOUN,,,,3,Step 3: spaCy fallback,arlene',True,Arlene's
arm's,arm',NOUN,,,,3,Step 3: spaCy fallback,arm',True,arm's
armed,arm,VERB,armed,armed,Adjective,1,Step 1: SUBTLEX-UK,armed,False,armed
armfuls,armfuls,PROPN,armfuls,armful,Noun,1,Step 1: SUBTLEX-UK,armful,False,armful
armored,armor,VERB,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,armored,False,armored
armoured,armour,VERB,armoured,armoured,Adjective,1,Step 1: SUBTLEX-UK,armoured,False,armoured
armouries,armoury,NOUN,armouries,armouries,Noun,1,Step 1: SUBTLEX-UK,armouries,False,armouries
Arnold's,arnold's,X,,,,3,Step 3: spaCy fallback,arnold's,True,Arnold's
aromas,aromas,PROPN,aromas,aroma,Noun,1,Step 1: SUBTLEX-UK,aroma,False,aroma
arras,arra,NOUN,arras,arras,Name,1,Step 1: SUBTLEX-UK,arras,False,arras
arrears,arrear,NOUN,arrears,arrears,Noun,1,Step 1: SUBTLEX-UK,arrears,False,arrears
arrhythmia,arrhythmia,VERB,arrhythmia,arrhythmium,Noun,1,Step 1: SUBTLEX-UK,arrhythmium,False,arrhythmium
arrowed,arrowe,VERB,arrowed,arrow,,1,Step 1: SUBTLEX-UK,arrow,False,arrow
arses,arsis,NOUN,arses,arse,Noun,1,Step 1: SUBTLEX-UK,arse,False,arse
ARTE'S,arte's,ADV,,,,3,Step 3: spaCy fallback,arte's,True,ARTE'S
Arthur's,arthur's,X,,,,3,Step 3: spaCy fallback,arthur's,True,Arthur's
arugula,arugula,VERB,arugula,arugulum,Noun,1,Step 1: SUBTLEX-UK,arugulum,False,arugulum
aryans,aryan,NOUN,aryans,aryans,Noun,1,Step 1: SUBTLEX-UK,aryans,False,aryans
ASHAM'D,asham'd,NOUN,,,,3,Step 3: spaCy fallback,asham'd,True,ASHAM'D
ashes,ashe,NOUN,ashes,ash,Noun,1,Step 1: SUBTLEX-UK,ash,False,ash
asians,asian,NOUN,asians,asians,Noun,1,Step 1: SUBTLEX-UK,asians,False,asians
Asimov's,asimov',NOUN,,,,3,Step 3: spaCy fallback,asimov',True,Asimov's
ASKINGTON'S,askington',NOUN,,,,3,Step 3: spaCy fallback,askington',True,ASKINGTON'S
ASS'N,ass'n,VERB,,,,3,Step 3: spaCy fallback,ass'n,True,ASS'N
assai,assai,PROPN,assai,assaus,Noun,1,Step 1: SUBTLEX-UK,assaus,False,assaus
assizes,assize,VERB,assizes,assizes,Noun,1,Step 1: SUBTLEX-UK,assizes,False,assizes
assorted,assort,VERB,assorted,assorted,Adjective,1,Step 1: SUBTLEX-UK,assorted,False,assorted
astonishes,astonishe,NOUN,astonishes,astonish,Verb,1,Step 1: SUBTLEX-UK,astonish,False,astonish
astonishing,astonish,VERB,astonishing,astonishing,Adjective,1,Step 1: SUBTLEX-UK,astonishing,False,astonishing
astounded,astound,VERB,astounded,astounded,Adjective,1,Step 1: SUBTLEX-UK,astounded,False,astounded
astringents,astringent,NOUN,astringents,astringents,Noun,1,Step 1: SUBTLEX-UK,astringents,False,astringents
astronautics,astronautic,NOUN,astronautics,astronautics,Noun,1,Step 1: SUBTLEX-UK,astronautics,False,astronautics
astrophysics,astrophysic,NOUN,astrophysics,astrophysics,Noun,1,Step 1: SUBTLEX-UK,astrophysics,False,astrophysics
astros,astro,NOUN,astros,astros,,1,Step 1: SUBTLEX-UK,astros,False,astros
atheling,athele,VERB,atheling,atheling,,1,Step 1: SUBTLEX-UK,atheling,False,atheling
athens,athen,NOUN,athens,athens,Name,1,Step 1: SUBTLEX-UK,athens,False,athens
athletics,athletic,NOUN,athletics,athletics,Noun,1,Step 1: SUBTLEX-UK,athletics,False,athletics
Atlanta's,atlanta's,VERB,,,,3,Step 3: spaCy fallback,atlanta's,True,Atlanta's
atmospherics,atmospheric,NOUN,atmospherics,atmospherics,,1,Step 1: SUBTLEX-UK,atmospherics,False,atmospherics
atones,atone,NOUN,,,Noun,2,Step 2: SUBTLEX-US + NLTK,atones,False,atones
atria,atria,PROPN,atria,atrium,Noun,1,Step 1: SUBTLEX-UK,atrium,False,atrium
atrophied,atrophy,VERB,atrophied,atrophied,Verb,1,Step 1: SUBTLEX-UK,atrophied,False,atrophied
attaches,attache,NOUN,attaches,attach,Verb,1,Step 1: SUBTLEX-UK,attach,False,attach
attuned,attune,VERB,attuned,attuned,Verb,1,Step 1: SUBTLEX-UK,attuned,False,attuned
auditing,audit,VERB,auditing,auditing,Verb,1,Step 1: SUBTLEX-UK,auditing,False,auditing
auditoria,auditoria,PROPN,auditoria,auditorium,,1,Step 1: SUBTLEX-UK,auditorium,False,auditorium
augers,auger,NOUN,augers,augers,,1,Step 1: SUBTLEX-UK,augers,False,augers
augmented,augment,VERB,augmented,augmented,Verb,1,Step 1: SUBTLEX-UK,augmented,False,augmented
Augustine's,augustine',NOUN,,,,3,Step 3: spaCy fallback,augustine',True,Augustine's
aureola,aureola,PROPN,aureola,aureolum,,1,Step 1: SUBTLEX-UK,aureolum,False,aureolum
aurorae,aurorae,PROPN,aurorae,aurora,,1,Step 1: SUBTLEX-UK,aurora,False,aurora
auspices,auspex,NOUN,auspices,auspices,Noun,1,Step 1: SUBTLEX-UK,auspices,False,auspices
aussies,aussie,NOUN,aussies,aussies,Noun,1,Step 1: SUBTLEX-UK,aussies,False,aussies
Austin's,austin's,X,,,,3,Step 3: spaCy fallback,austin's,True,Austin's
austrians,austrian,NOUN,austrians,austrians,Noun,1,Step 1: SUBTLEX-UK,austrians,False,austrians
autobahns,autobahns,PROPN,autobahns,autobahn,,1,Step 1: SUBTLEX-UK,autobahn,False,autobahn
autographed,autograph,VERB,autographed,autographed,Adjective,1,Step 1: SUBTLEX-UK,autographed,False,autographed
automata,automata,NOUN,automata,automaton,,1,Step 1: SUBTLEX-UK,automaton,False,automaton
autopsied,autopsie,VERB,,,Verb,2,Step 2: SUBTLEX-US + NLTK,autopsied,False,autopsied
avengers,avenger,NOUN,avengers,avengers,Noun,1,Step 1: SUBTLEX-UK,avengers,False,avengers
avens,aven,VERB,avens,avens,,1,Step 1: SUBTLEX-UK,avens,False,avens
avouches,avouche,NOUN,,,Verb,2,Step 2: SUBTLEX-US + NLTK,avouch,False,avouch
avowed,avow,VERB,avowed,avowed,Adjective,1,Step 1: SUBTLEX-UK,avowed,False,avowed
awakenings,awakening,NOUN,awakenings,awakenings,Noun,1,Step 1: SUBTLEX-UK,awakenings,False,awakenings
aweing,awe,VERB,aweing,awee,,1,Step 1: SUBTLEX-UK,awee,False,awee
awning,awning,ADJ,awning,awn,Noun,1,Step 1: SUBTLEX-UK,awn,False,awn
axed,axe,VERB,axed,ax,Verb,1,Step 1: SUBTLEX-UK,ax,False,ax
axilla,axilla,NOUN,axilla,axillum,Noun,1,Step 1: SUBTLEX-UK,axillum,False,axillum
axing,axe,VERB,axing,ax,Verb,1,Step 1: SUBTLEX-UK,ax,False,ax
axolotls,axolotls,NOUN,axolotls,axolotl,,1,Step 1: SUBTLEX-UK,axolotl,False,axolotl
B'DIKKAT,b'dikkat,NOUN,,,,3,Step 3: spaCy fallback,b'dikkat,True,B'DIKKAT
baaed,baaed,NOUN,baaed,baa,,1,Step 1: SUBTLEX-UK,baa,False,baa
babbles,babble,NOUN,babbles,babbles,Verb,1,Step 1: SUBTLEX-UK,babbles,False,babbles
babylonians,babylonian,NOUN,babylonians,babylonians,Noun,1,Step 1: SUBTLEX-UK,babylonians,False,babylonians
bacchanalia,bacchanalia,PROPN,bacchanalia,bacchanalium,Noun,1,Step 1: SUBTLEX-UK,bacchanalium,False,bacchanalium
bacilli,bacilli,PROPN,bacilli,bacillus,Noun,1,Step 1: SUBTLEX-UK,bacillus,False,bacillus
backboned,backbone,VERB,backboned,backbon,,1,Step 1: SUBTLEX-UK,backbon,False,backbon
backbreaking,backbreake,VERB,backbreaking,backbreak,Verb,1,Step 1: SUBTLEX-UK,backbreak,False,backbreak
backcombing,backcombe,VERB,backcombing,backcombing,,1,Step 1: SUBTLEX-UK,backcombing,False,backcombing
backfilling,backfille,VERB,backfilling,backfil,,1,Step 1: SUBTLEX-UK,backfil,False,backfil
